부서,사업구분,사업운영,"사업
구분2",구분,사업코드,사업명,목표,달성,세목코드,세목명,예산,운영,독불문가능여부,담당자,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,혁신 교수법 프로그램 운영 강화,조사,09-01-02,교수학습개발센터 수요자 만족도 조사,500명,502명,42370604,기념품제작,"500,000",연 1회,우영식,우영식,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,학습 동기제고 프로그램 강화,학습,09-02-01,학습컨설팅,500명,661명,43250613,학생상담 및 검사 등 지원,"19,400,000",연 2회,우영식,우영식,,,,,,,,,,,,,,,
교수학습개발센터,교비,계속,혁신 교수법 프로그램 운영 강화,기타,,교수학습개발센터 운영위원회,,,42380001,위원회회의비,"79,900",연 1회,우영식,우영식,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,LMS 성과관리 기반 교육서비스 제공,원격,09-03-02,통합학습관리시스템(LMS) 유지보수,,,42120604,교육용기기 유지보수,"62,000,000",연 1회,장정아,장정아,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,LMS 성과관리 기반 교육서비스 제공,원격,09-03-01,통합학습관리시스템(LMS) 클라우드 서비스 이용,,,42170602,소프트웨어사용료,"50,448,000",연 1회,장정아,장정아,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,LMS 성과관리 기반 교육서비스 제공,원격,09-01-06,온라인 수업 지원 시스템(ZOOM) 지원,,,42170602,소프트웨어사용료,"24,000,000",연 1회,장정아,장정아,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,혁신 교수법 프로그램 운영 강화,원격,09-01-05,에듀테크 혁신교수법을 활용한 이러닝 교과목 개발,,,43120617,(혁신)교과목개발및연구,"3,550,000","연 1회
 (1개 개발)",장정아,장정아,,,,,,,,,,,,,,,
교수학습개발센터,혁신,신규,,기타,09-02-11,대학교육혁신원 홈페이지 고도화,,,42120604,교육용기기 유지보수비,"9,000,000",,장정아,장정아,,,,,,,,,,,,,,,
교수학습개발센터,혁신,신규,,기타,09-02-11,대학교육혁신원 홈페이지 고도화,,,43250615,기타지원,"500,000",,장정아,장정아,,,,,,,,,,,,,,,
교수학습개발센터,혁신,신규,,기타,09-02-11,대학교육혁신원 홈페이지 고도화,,,42380601,기타회의비,"399,600",,장정아,장정아,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,데이터 기반 환류 체계 선진화,조사,10-02-02,교육수요자만족도 조사 실행 및 환류체계 운영,,,42330602,기타 용역비,"32,800,000",연 1회,서다영,서다영,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,데이터 기반 환류 체계 선진화,조사,10-02-02,교육수요자만족도 조사 실행 및 환류체계 운영,,,42380601,기타회의비,"2,729,200",연 1회,서다영,서다영,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,데이터 기반 환류 체계 선진화,인증,10-02-06,DS 핵심역량 진단 도구 개발,,,43120600,연구관리비,0,연 1회,서다영,서다영,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,데이터 기반 환류 체계 선진화,인증,10-02-04,IiRUM 핵심역량 인증제 운영,,,42370604,기념품제작,"3,000,000",연 1회,서다영,서다영,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,전공능력 기반 전공교육 운영 혁신,인증,10-02-05,핵심역량기반 교과목 인증,,,43120619,혁신지원TF관리,"200,000","연 1회
 (규정상 연 2회)",서다영,서다영,,,,,,,,,,,,,,,
교육혁신센터,교비,계속,데이터 기반 환류 체계 선진화,조사,10-02-03,덕성 교육 학생 모니터링단 운영,,,43220651,교내장학금-학부,"2,500,000",연 1회,서다영,서다영,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,데이터 기반 환류 체계 선진화,조사,10-02-03,덕성 교육 학생 모니터링단 운영,,,43250615,기타지원,"853,800",연 1회,서다영,서다영,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,데이터 기반 환류 체계 선진화,기타,08-03-01,비교과 교육과정 관리 및 고도화,,,42330602,기타 용역비,"9,000,000",연 1회,조윤정,조윤정,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,데이터 기반 환류 체계 선진화,비교과,08-03-01,비교과 교육과정 관리 및 고도화,,,42370604,기념품제작,"1,200,000",연 1회,조윤정,조윤정,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,데이터 기반 환류 체계 선진화,비교과,08-03-01,비교과 교육과정 관리 및 고도화,,,43120617,(혁신)교과목개발및연구,"3,000,000",연 1회,조윤정,조윤정,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,자기주도 학습역량 지원체계 강화,비교과,08-03-03,전공 기반 융복합 비교과 프로그램 개발,,,43120617,(혁신)교과목개발및연구,"4,000,000",연 1회,조윤정,조윤정,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,자기주도 학습역량 지원체계 강화,비교과,08-03-03,전공 기반 융복합 비교과 프로그램 개발,,,43230602,교육활동비,"8,209,032",연 1회,조윤정,조윤정,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,자기주도 학습역량 지원체계 강화,비교과,08-03-03,전공 기반 융복합 비교과 프로그램 개발,,,43250615,기타지원,"700,000",,조윤정,조윤정,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,자기주도 학습역량 지원체계 강화,비교과,08-03-03,전공 기반 융복합 비교과 프로그램 개발,,,43120600,연구관리비,"300,000",,조윤정,조윤정,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,자기주도 학습역량 지원체계 강화,비교과,08-03-02,DS ICAN 마일리지 장학금 제도 내실화,,,43210653,교외장학-학부국고,"64,000,000",연 1회,조윤정,조윤정,,,,,,,,,,,,,,,
교육혁신센터,혁신,신규,자기주도 학습역량 지원체계 강화,기타,08-03-04,덕성여자대학교 liRUM 핵심역량 인증 시스템 구축 사업 시행,,,42330602,기타 용역비,"15,000,000",연 1회,조윤정,조윤정,,,,,,,,,,,,,,,
교육혁신센터,교비,신규,자기주도 학습역량 지원체계 강화,비교과,,2025학년도 교외 수상 성과관리 운영,,,43250056,학생 활동 지원,"600,000",연 2회,조윤정,조윤정,,,,,,,,,,,,,,,
교육혁신센터,혁신,신규,전공능력 기반 전공교육 운영 혁신,교과,08-01-02,2025학년도 전공 실무형 AI Bridge 교과목 개발,,,43120617,(혁신)교과목개발및연구,"4,050,000",연 1회,손수경,손수경,,,,,,,,,,,,,,,
교육혁신센터,혁신,신규,전공능력 기반 전공교육 운영 혁신,교과,04-01-01,전공탐색 교육과정 고도화,,,43120617,(혁신)교과목개발및연구,"800,000",연 1회,손수경,,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,전공능력 기반 전공교육 운영 혁신,교과,08-01-03,전공능력 기반 전공교육과정 고도화 추진,,,43120617,(혁신)교과목개발및연구,"40,600,000",연 1회,손수경,손수경,,,,,,,,,,,,,,,
교육혁신센터,혁신,신규,전공능력 기반 전공교육 운영 혁신,기타,08-01-01,2025학년도 덕성맞춤형 교육체계 구축을 위한 덕성 Edu-MAP TF 운영,,,43120619,혁신지원TF관리,"4,000,000",연 5회 이상,손수경,손수경,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,데이터 기반 환류 체계 선진화,조사,10-02-01,학부교육실태조사(K-NSSE) 및 대학혁신역량진단(UICA) 시행,,,42330602,기타 용역비,"13,200,000",연 1회,손수경,손수경,,,,,,,,,,,,,,,
교육혁신센터,혁신,계속,데이터 기반 환류 체계 선진화,조사,10-02-01,학부교육실태조사(K-NSSE) 및 대학혁신역량진단(UICA) 시행,,,43250615,기타지원,"3,576,200",연 1회,손수경,손수경,,,,,,,,,,,,,,,
